2021-06-18 22:53:13.875  INFO 10180 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-06-18 22:53:13.961  INFO 10180 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 75 ms. Found 5 JPA repository interfaces.
2021-06-18 22:53:14.606  INFO 10180 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8081 (http)
2021-06-18 22:53:14.615  INFO 10180 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2021-06-18 22:53:14.616  INFO 10180 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.41]
2021-06-18 22:53:14.716  INFO 10180 --- [restartedMain] o.a.c.c.C.[.[localhost].[/ShopmeAdmin]   : Initializing Spring embedded WebApplicationContext
2021-06-18 22:53:14.716  INFO 10180 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1699 ms
2021-06-18 22:53:14.912  INFO 10180 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2021-06-18 22:53:14.967  INFO 10180 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.27.Final
2021-06-18 22:53:15.102  INFO 10180 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-06-18 22:53:15.203  INFO 10180 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2021-06-18 22:53:15.442  INFO 10180 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2021-06-18 22:53:15.459  INFO 10180 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2021-06-18 22:53:16.147  INFO 10180 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-06-18 22:53:16.153  INFO 10180 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-06-18 22:53:16.175  INFO 10180 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2021-06-18 22:53:16.543  WARN 10180 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-06-18 22:53:16.759  INFO 10180 --- [restartedMain] o.s.s.web.DefaultSecurityFilterChain     : Will secure Ant [pattern='/images/**'] with []
2021-06-18 22:53:16.759  INFO 10180 --- [restartedMain] o.s.s.web.DefaultSecurityFilterChain     : Will secure Ant [pattern='/js/**'] with []
2021-06-18 22:53:16.759  INFO 10180 --- [restartedMain] o.s.s.web.DefaultSecurityFilterChain     : Will secure Ant [pattern='/webjars/**'] with []
2021-06-18 22:53:16.785  INFO 10180 --- [restartedMain] o.s.s.web.DefaultSecurityFilterChain     : Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1b84f437, org.springframework.security.web.context.SecurityContextPersistenceFilter@3fb69462, org.springframework.security.web.header.HeaderWriterFilter@47fa90be, org.springframework.security.web.csrf.CsrfFilter@7ebb55a6, org.springframework.security.web.authentication.logout.LogoutFilter@59de1250, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@11fa7b14, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@d9afc4a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@77cdf252, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@2a717423, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1a285858, org.springframework.security.web.session.SessionManagementFilter@7bcf215e, org.springframework.security.web.access.ExceptionTranslationFilter@6b877166, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@40bf96f5]
2021-06-18 22:53:16.860  INFO 10180 --- [restartedMain] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2021-06-18 22:53:16.930  INFO 10180 --- [restartedMain] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2021-06-18 22:53:17.347  INFO 10180 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8081 (http) with context path '/ShopmeAdmin'
2021-06-18 22:53:17.354  INFO 10180 --- [restartedMain] c.shopme.admin.ShopmeBackEndApplication  : Started ShopmeBackEndApplication in 4.681 seconds (JVM running for 5.41)
2021-06-18 22:54:41.305  INFO 10180 --- [http-nio-8081-exec-2] o.a.c.c.C.[.[localhost].[/ShopmeAdmin]   : Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-06-18 22:54:41.305  INFO 10180 --- [http-nio-8081-exec-2] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2021-06-18 22:54:41.306  INFO 10180 --- [http-nio-8081-exec-2] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2021-06-18 22:54:45.950  INFO 10180 --- [http-nio-8081-exec-10] c.s.admin.controller.BrandController     : ProductController | listFirstPage is started
2021-06-18 22:54:45.950  INFO 10180 --- [http-nio-8081-exec-10] c.s.admin.controller.BrandController     : ProductController | listByPage is started
